id,area,canopy_cov,density
1,8831921.005087156,27279.4999999996,0.0030887391298321963
2,15736043.774580723,3136.0999999999935,0.00019929405668443198
3,37011461.22313919,5979.600000000029,0.00016156076529779494
4,8677127.409022197,389.20000000000016,4.485355367668366e-05
5,16714393.078855606,6289.500000000055,0.00037629245467228666
6,13219344.32824137,12416.10000000007,0.0009392372035786013
7,15455199.821112499,2866.8999999999937,0.0001854974399026326
8,16422223.863420695,4995.4000000000215,0.00030418535525672074
9,7347779.746445391,6352.500000000016,0.0008645468725533236
10,6972767.286292321,87988.80000000297,0.012618921066386238
11,3078115.8186764987,93333.1000000023,0.030321503639889957
12,8613014.072911715,131189.10000000492,0.01523149723075457
