location,continent,population_year,population
Afghanistan,Asia,2022,41128772
Albania,Europe,2022,2842318
Algeria,Africa,2022,44903228
Andorra,Europe,2022,79843
Angola,Africa,2022,35588996
Anguilla,North America,2022,15877
Antigua and Barbuda,North America,2022,93772
Argentina,South America,2022,45510324
Armenia,Asia,2022,2780472
Aruba,North America,2022,106459
Australia,Oceania,2022,26177410
Austria,Europe,2022,8939617
Azerbaijan,Asia,2022,10358078
Bahamas,North America,2022,409989
Bahrain,Asia,2022,1472237
Bangladesh,Asia,2022,171186368
Barbados,North America,2022,281646
Belarus,Europe,2022,9534956
Belgium,Europe,2022,11655923
Belize,North America,2022,405285
Benin,Africa,2022,13352864
Bermuda,North America,2022,64207
Bhutan,Asia,2022,782457
Bolivia,South America,2022,12224114
Bonaire Sint Eustatius and Saba,North America,2022,27052
Bosnia and Herzegovina,Europe,2022,3233530
Botswana,Africa,2022,2630300
Brazil,South America,2022,215313504
British Virgin Islands,North America,2022,31332
Brunei,Asia,2022,449002
Bulgaria,Europe,2022,6781955
Burkina Faso,Africa,2022,22673764
Burundi,Africa,2022,12889583
Cambodia,Asia,2022,16767851
Cameroon,Africa,2022,27914542
Canada,North America,2022,38454328
Cape Verde,Africa,2022,593162
Cayman Islands,North America,2022,68722
Central African Republic,Africa,2022,5579148
Chad,Africa,2022,17723312
Chile,South America,2022,19603736
China,Asia,2022,1425887360
Colombia,South America,2022,51874028
Comoros,Africa,2022,836783
Congo,Africa,2022,5970430
Cook Islands,Oceania,2022,17032
Costa Rica,North America,2022,5180836
Cote d'Ivoire,Africa,2022,28160548
Croatia,Europe,2022,4030361
Cuba,North America,2022,11212198
Curacao,North America,2022,191173
Cyprus,Europe,2021,896007
Czechia,Europe,2022,10493990
Democratic Republic of Congo,Africa,2022,99010216
Denmark,Europe,2022,5882259
Djibouti,Africa,2022,1120851
Dominica,North America,2022,72758
Dominican Republic,North America,2022,11228821
Ecuador,South America,2022,18001002
Egypt,Africa,2022,110990096
El Salvador,North America,2022,6336393
Equatorial Guinea,Africa,2022,1674916
Eritrea,Africa,2022,3684041
Estonia,Europe,2022,1326064
Eswatini,Africa,2022,1201680
Ethiopia,Africa,2022,123379928
Faeroe Islands,Europe,2022,53117
Falkland Islands,South America,2022,3801
Fiji,Oceania,2022,929769
Finland,Europe,2022,5540745
France,Europe,2022,67813000
French Polynesia,Oceania,2022,306292
Gabon,Africa,2022,2388997
Gambia,Africa,2022,2705995
Georgia,Asia,2022,3744385
Germany,Europe,2022,83369840
Ghana,Africa,2022,33475870
Gibraltar,Europe,2022,32677
Greece,Europe,2022,10384972
Greenland,North America,2022,56494
Grenada,North America,2022,125459
Guatemala,North America,2022,17843914
Guinea,Africa,2022,13859349
Guinea-Bissau,Africa,2022,2105580
Guyana,South America,2022,808727
Haiti,North America,2022,11585003
Honduras,North America,2022,10432858
Hong Kong,Asia,2022,7488863
Hungary,Europe,2022,9967304
Iceland,Europe,2022,372903
India,Asia,2022,1417173120
Indonesia,Asia,2022,275501344
International,,,
Iran,Asia,2022,88550568
Iraq,Asia,2022,44496124
Ireland,Europe,2022,5023108
Isle of Man,Europe,2022,84534
Israel,Asia,2022,9449000
Italy,Europe,2022,59037472
Jamaica,North America,2022,2827382
Japan,Asia,2022,123951696
Jordan,Asia,2022,11285875
Kazakhstan,Asia,2022,19397998
Kenya,Africa,2022,54027484
Kiribati,Oceania,2022,131237
Kosovo,Europe,2021,1782115
Kuwait,Asia,2022,4268886
Kyrgyzstan,Asia,2022,6630621
Laos,Asia,2022,7529477
Latvia,Europe,2022,1850654
Lebanon,Asia,2022,5489744
Lesotho,Africa,2022,2305826
Liberia,Africa,2022,5302690
Libya,Africa,2022,6812344
Liechtenstein,Europe,2022,39355
Lithuania,Europe,2022,2750058
Luxembourg,Europe,2022,647601
Macao,Asia,2022,695180
Madagascar,Africa,2022,29611718
Malawi,Africa,2022,20405318
Malaysia,Asia,2022,33938216
Maldives,Asia,2022,523798
Mali,Africa,2022,22593598
Malta,Europe,2022,533293
Marshall Islands,Oceania,2022,41593
Mauritania,Africa,2022,4736146
Mauritius,Africa,2022,1299478
Mexico,North America,2022,127504120
Micronesia (country),Oceania,2022,114178
Moldova,Europe,2022,3272993
Monaco,Europe,2022,36491
Mongolia,Asia,2022,3398373
Montenegro,Europe,2022,627082
Montserrat,North America,2022,4413
Morocco,Africa,2022,37457976
Mozambique,Africa,2022,32969520
Myanmar,Asia,2022,54179312
Namibia,Africa,2022,2567024
Nauru,Oceania,2022,12691
Nepal,Asia,2022,30547586
Netherlands,Europe,2022,17564020
New Caledonia,Oceania,2022,289959
New Zealand,Oceania,2022,5185289
Nicaragua,North America,2022,6948395
Niger,Africa,2022,26207982
Nigeria,Africa,2022,218541216
North Korea,Asia,2022,26069416
North Macedonia,Europe,2022,2093606
Norway,Europe,2022,5434324
Oman,Asia,2022,4576300
Pakistan,Asia,2022,235824864
Palau,Oceania,2022,18084
Palestine,Asia,2022,5250076
Panama,North America,2022,4408582
Papua New Guinea,Oceania,2022,10142625
Paraguay,South America,2022,6780745
Peru,South America,2022,34049588
Philippines,Asia,2022,115559008
Poland,Europe,2022,39857144
Portugal,Europe,2022,10270857
Qatar,Asia,2022,2695131
Romania,Europe,2022,19659270
Russia,Europe,2022,144713312
Rwanda,Africa,2022,13776702
Saint Helena,Africa,2022,5401
Saint Kitts and Nevis,North America,2022,47681
Saint Lucia,North America,2022,179872
Saint Pierre and Miquelon,North America,2022,5885
Saint Vincent and the Grenadines,North America,2022,103959
Samoa,Oceania,2022,222390
San Marino,Europe,2022,33690
Sao Tome and Principe,Africa,2022,227393
Saudi Arabia,Asia,2022,36408824
Senegal,Africa,2022,17316452
Serbia,Europe,2021,6871547
Seychelles,Africa,2022,107135
Sierra Leone,Africa,2022,8605723
Singapore,Asia,2022,5637022
Slovakia,Europe,2022,5643455
Slovenia,Europe,2022,2119843
Solomon Islands,Oceania,2022,724272
Somalia,Africa,2022,17597508
South Africa,Africa,2022,59893884
South Korea,Asia,2022,51815808
South Sudan,Africa,2022,10913172
Spain,Europe,2022,47558632
Sri Lanka,Asia,2022,21832150
Sudan,Africa,2022,46874200
Suriname,South America,2022,618046
Sweden,Europe,2022,10549349
Switzerland,Europe,2022,8740471
Syria,Asia,2022,22125242
Taiwan,Asia,2022,23893396
Tajikistan,Asia,2022,9952789
Tanzania,Africa,2022,65497752
Thailand,Asia,2022,71697024
Timor,Asia,2022,1341298
Togo,Africa,2022,8848700
Tonga,Oceania,2022,106867
Trinidad and Tobago,North America,2022,1531043
Tunisia,Africa,2022,12356116
Turkey,Asia,2022,85341248
Turks and Caicos Islands,North America,2022,45726
Tuvalu,Oceania,2022,11335
Uganda,Africa,2022,47249588
Ukraine,Europe,2022,39701744
United Arab Emirates,Asia,2022,9441138
United Kingdom,Europe,2022,67508936
United States,North America,2022,338289856
Uruguay,South America,2022,3422796
Uzbekistan,Asia,2022,34627648
Vanuatu,Oceania,2022,326744
Vatican,Europe,2022,808
Venezuela,South America,2022,28301700
Vietnam,Asia,2022,98186856
Wallis and Futuna,Oceania,2022,11596
Yemen,Asia,2022,33696612
Zambia,Africa,2022,20017670
Zimbabwe,Africa,2022,16320539
